"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"2" 0 66 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"3" 1 1 67 0 0 0 0 1 0 1 0 1 2 2 0 0 0 0 0 1
"4" 0 0 0 152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 5 0 103 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"6" 0 0 0 0 1 97 1 0 0 0 0 2 0 0 0 0 0 0 0 0
"7" 0 1 0 1 4 0 15 2 2 1 1 0 0 1 2 0 1 1 0 2
"8" 0 0 0 0 0 0 0 104 0 1 0 0 0 0 0 0 1 0 0 0
"9" 1 0 0 1 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0
"10" 0 1 2 0 2 1 0 0 0 104 0 1 1 0 0 1 0 0 0 0
"11" 0 0 0 0 0 1 0 1 0 0 21 0 0 0 0 0 0 0 0 2
"12" 1 0 2 1 0 0 0 0 0 0 0 104 0 0 0 0 0 1 0 0
"13" 0 1 1 0 0 0 0 0 0 0 0 0 84 0 0 1 0 0 0 0
"14" 1 0 1 0 1 0 0 0 0 0 0 0 0 157 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 156 0 0 0 0 0
"16" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 136 0 0 0 0
"17" 0 1 0 1 1 1 0 2 0 0 0 0 1 0 0 1 79 0 1 1
"18" 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 33 1 1
"19" 0 0 0 1 1 4 0 0 0 0 1 0 1 0 3 0 0 0 74 0
"20" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 255
